2061.	Wednesday, November 07, 2018	07	08	17	26	29	39
2060.	Saturday, November 03, 2018	09	16	22	24	29	44
2059.	Wednesday, October 31, 2018	06	12	15	38	47	48
2058.	Saturday, October 27, 2018	09	17	29	31	32	48
2057.	Wednesday, October 24, 2018	04	09	12	29	38	49
2056.	Saturday, October 20, 2018	05	08	14	16	18	44
2055	Wednesday, October 17, 2018	1	10	19	23	34	45
2054	Saturday, October 13, 2018	8	9	10	33	43	44
2053	Wednesday, October 10, 2018	16	24	28	31	32	47
2052	Saturday, October 06, 2018	11	15	22	28	29	38
2051	Wednesday, October 03, 2018	14	16	25	40	45	48
2050	Saturday, September 29, 2018	7	11	18	30	33	35
2049	Wednesday, September 26, 2018	7	10	16	25	31	45
2048	Saturday, September 22, 2018	13	19	20	30	38	46
2047	Wednesday, September 19, 2018	12	13	26	29	40	49
2046	Saturday, September 15, 2018	17	18	19	21	23	24
2045	Wednesday, September 12, 2018	13	17	23	26	31	43
2044	Saturday, September 08, 2018	5	13	17	22	31	49
2043	Wednesday, September 05, 2018	1	2	19	23	32	48
2042	Saturday, September 01, 2018	12	17	21	24	29	39
2041	Wednesday, August 29, 2018	8	30	33	36	41	49
2040	Saturday, August 25, 2018	5	10	18	21	34	39
2039	Wednesday, August 22, 2018	8	10	12	19	30	35
2038	Saturday, August 18, 2018	4	5	6	12	15	25
2037	Wednesday, August 15, 2018	8	10	15	20	29	45
2036	Saturday, August 11, 2018	5	9	14	23	26	44
2035	Wednesday, August 08, 2018	4	23	35	39	48	49
2034	Saturday, August 04, 2018	17	20	22	23	36	43
2033	Wednesday, August 01, 2018	1	16	24	32	36	38
2032	Saturday, July 28, 2018	2	4	12	18	36	39
2031	Wednesday, July 25, 2018	6	17	21	23	27	37
2030	Saturday, July 21, 2018	8	10	12	17	36	42
2029	Wednesday, July 18, 2018	3	13	14	17	38	46
2028	Saturday, July 14, 2018	17	19	28	39	43	48
2027	Wednesday, July 11, 2018	3	4	17	21	24	34
2026	Saturday, July 07, 2018	8	11	18	23	27	40
2025	Wednesday, July 04, 2018	1	5	12	19	25	33
2024	Saturday, June 30, 2018	4	21	28	36	44	46
2023	Wednesday, June 27, 2018	1	4	15	18	30	35
2022	Saturday, June 23, 2018	12	15	20	26	39	48
2021	Wednesday, June 20, 2018	5	10	14	15	31	41
2020	Saturday, June 16, 2018	1	13	38	43	45	49
2019	Wednesday, June 13, 2018	3	27	36	37	39	42
2018	Saturday, June 09, 2018	4	12	13	37	44	45
2017	Wednesday, June 06, 2018	6	26	27	31	32	38
2016	Saturday, June 02, 2018	7	8	13	30	38	46
2015	Wednesday, May 30, 2018	21	22	38	40	46	49
2014	Saturday, May 26, 2018	10	11	20	27	41	46
2013	Wednesday, May 23, 2018	2	6	16	20	42	45
2012	Saturday, May 19, 2018	7	8	33	34	35	45
2011	Wednesday, May 16, 2018	1	3	6	18	36	39
2010	Saturday, May 12, 2018	4	8	10	19	37	45
